"","X","sub","gender","hostility","frig","disg"
"1",1,1,"female",8,"low","low"
"2",2,1,"female",4,"low","low"
"3",3,1,"female",3,"low","high"
"4",4,1,"female",9,"low","high"
"5",5,1,"female",8,"high","low"
"6",6,1,"female",10,"high","low"
"7",7,1,"female",10,"high","high"
"8",8,1,"female",10,"high","high"
"9",9,3,"female",10,"low","low"
"10",10,3,"female",0,"low","low"
"11",11,3,"female",10,"low","high"
"12",12,3,"female",10,"low","high"
"13",13,3,"female",10,"high","low"
"14",14,3,"female",10,"high","low"
"15",15,3,"female",10,"high","high"
"16",16,3,"female",10,"high","high"
"17",17,4,"female",7,"low","low"
"18",18,4,"female",5,"low","low"
"19",19,4,"female",9,"low","high"
"20",20,4,"female",9,"low","high"
"21",21,4,"female",6,"high","low"
"22",22,4,"female",6,"high","low"
"23",23,4,"female",10,"high","high"
"24",24,4,"female",8,"high","high"
"25",25,5,"female",3,"low","low"
"26",26,5,"female",3,"low","low"
"27",27,5,"female",3,"low","high"
"28",28,5,"female",10,"low","high"
"29",29,5,"female",5,"high","low"
"30",30,5,"female",6,"high","low"
"31",31,5,"female",10,"high","high"
"32",32,5,"female",7,"high","high"
"33",33,6,"female",3,"low","low"
"34",34,6,"female",1,"low","low"
"35",35,6,"female",0,"low","high"
"36",36,6,"female",1,"low","high"
"37",37,6,"female",9,"high","low"
"38",38,6,"female",6,"high","low"
"39",39,6,"female",6,"high","high"
"40",40,6,"female",0,"high","high"
"41",41,7,"female",10,"low","low"
"42",42,7,"female",10,"low","low"
"43",43,7,"female",10,"low","high"
"44",44,7,"female",10,"low","high"
"45",45,7,"female",10,"high","low"
"46",46,7,"female",10,"high","low"
"47",47,7,"female",10,"high","high"
"48",48,7,"female",10,"high","high"
"49",49,8,"female",10,"low","low"
"50",50,8,"female",10,"low","low"
"51",51,8,"female",10,"low","high"
"52",52,8,"female",10,"low","high"
"53",53,8,"female",10,"high","low"
"54",54,8,"female",8,"high","low"
"55",55,8,"female",10,"high","high"
"56",56,8,"female",10,"high","high"
"57",57,9,"female",10,"low","low"
"58",58,9,"female",9,"low","low"
"59",59,9,"female",9,"low","high"
"60",60,9,"female",10,"low","high"
"61",61,9,"female",3,"high","low"
"62",62,9,"female",9,"high","low"
"63",63,9,"female",10,"high","high"
"64",64,9,"female",10,"high","high"
"65",65,11,"male",0,"low","low"
"66",66,11,"male",0,"low","low"
"67",67,11,"male",5,"low","high"
"68",68,11,"male",0,"low","high"
"69",69,11,"male",0,"high","low"
"70",70,11,"male",0,"high","low"
"71",71,11,"male",0,"high","high"
"72",72,11,"male",0,"high","high"
"73",73,12,"male",10,"low","low"
"74",74,12,"male",9,"low","low"
"75",75,12,"male",7,"low","high"
"76",76,12,"male",8,"low","high"
"77",77,12,"male",9,"high","low"
"78",78,12,"male",8,"high","low"
"79",79,12,"male",10,"high","high"
